"","data...1.","pval","bhq","rainresult.phase"
"83","VNG0104G",0.0238171611868484,0.341024969491639,3
"84","VNG0105H",0.993893035593116,0.996551724137931,6
"85","VNG0106G",0.532798716920609,0.996551724137931,12
"86","VNG0107G",0.988372093023256,0.996551724137931,6
"87","VNG0108G",0.0731515812431843,0.570012321375462,3
"88","VNG0110C",0.996551724137931,0.996551724137931,6
"89","VNG0112H",0.619085805934242,0.996551724137931,3
"90","VNG0113H",0.931034482758621,0.996551724137931,15
"91","VNG0115G",0.584441757355905,0.996551724137931,3
"92","VNG0116H",0.985388956066102,0.996551724137931,6
"93","VNG0117H",0.597077426390403,0.996551724137931,21
"94","VNG0118H",0.964885496183206,0.996551724137931,6
"95","VNG0119H",0.0603448275862069,0.570012321375462,3
"96","VNG0120H",0.505997818974918,0.996551724137931,6
"97","VNG0121H",0.969045709703288,0.996551724137931,6
"98","VNG0123G",0.954907161803713,0.996551724137931,24
"99","VNG0124C",0.986718116489109,0.996551724137931,3
"100","VNG0125H",0.938807509799876,0.996551724137931,21
"101","VNG0127C",0.131034482758621,0.671109661182831,9
"102","VNG0128C",0.465116279069767,0.996551724137931,12
"103","VNG0129G",0.173317210802096,0.723410966826139,3
"104","VNG0130H",0.00240577385725742,0.162977761421587,12
"105","VNG0132C",0.378249697702539,0.996551724137931,24
"106","VNG0133G",0.969045709703288,0.996551724137931,9
"107","VNG0134G",0.505997818974918,0.996551724137931,24
"108","VNG0136G",0.964885496183206,0.996551724137931,24
"109","VNG0137G",0.0675245365321701,0.570012321375462,3
"110","VNG0138H",0.505997818974918,0.996551724137931,15
"111","VNG0139H",0.465116279069767,0.996551724137931,24
"112","VNG0140H",0.0259823576583801,0.341024969491639,15
"113","VNG0141H",0.0133478735005453,0.341024969491639,24
"114","VNG0142C",0.137931034482759,0.671109661182831,6
"115","VNG0143H",0.969045709703288,0.996551724137931,15
"116","VNG0144H",0.13448275862069,0.671109661182831,3
"117","VNG0146H",0.113849509269357,0.671109661182831,3
"118","VNG0147C",0.0252606255012029,0.341024969491639,15
"119","VNG0148H",0.619085805934242,0.996551724137931,24
"120","VNG0149G",0.993675027262814,0.996551724137931,24
"121","VNG0150H",0.758996728462377,0.996551724137931,3
"122","VNG0151C",0.51726454386672,0.996551724137931,6
"123","VNG0152G",0.465116279069767,0.996551724137931,12
"124","VNG0153C",0.761141024172299,0.996551724137931,21
"125","VNG0154G",0.0675245365321701,0.570012321375462,3
"126","VNG0156C",0.0274258219727346,0.341024969491639,21
"127","VNG0157G",0.995667069729948,0.996551724137931,18
"128","VNG0158G",0.0656488549618321,0.570012321375462,21
"129","VNG0159G",0.938807509799876,0.996551724137931,12
"130","VNG0160G",0.985388956066102,0.996551724137931,18
"131","VNG0161G",0.505997818974918,0.996551724137931,18
"132","VNG0162G",0.0347001090512541,0.365264305802675,21
"133","VNG0163G",0.985388956066102,0.996551724137931,3
"134","VNG0164G",0.337622682660851,0.982175076831565,21
"135","VNG0166G",0.164651350261991,0.722244376409649,18
"136","VNG0167H",0.746346782988004,0.996551724137931,6
"137","VNG0168H",0.137931034482759,0.671109661182831,24
"138","VNG0170C",0.0137404580152672,0.341024969491639,3
"139","VNG0171C",0.980036297640653,0.996551724137931,3
"140","VNG0172G",0.914102049015669,0.996551724137931,24
"141","VNG0174G",0.168984280532043,0.722244376409649,3
"142","VNG0175G",0.954907161803713,0.996551724137931,15
"143","VNG0176H",0.123336968375136,0.671109661182831,24
"144","VNG0177G",0.961205159209996,0.996551724137931,6
"145","VNG0178H",0.0731515812431843,0.570012321375462,6
"146","VNG0179C",0.0259823576583801,0.341024969491639,12
"147","VNG0180G",0.131034482758621,0.671109661182831,21
"148","VNG0181G",0.980036297640653,0.996551724137931,3
"149","VNG0183G",0.887997861534349,0.996551724137931,3
"150","VNG0184H",0.619085805934242,0.996551724137931,3
"151","VNG0186G",0.914102049015669,0.996551724137931,3
"152","VNG0187H",0.13448275862069,0.671109661182831,21
"153","VNG0188H",0.9253653217012,0.996551724137931,9
"154","VNG0189C",0.949092637642256,0.996551724137931,15
