"","data...1.","fdr.out.pval","fdr"
"1998","VNG2615C",0.0169691228933738,0.197698519146102
"1999","VNG2616G",0.0482140725905016,0.314439603851097
"2000","VNG2617G",0.951939330213964,0.99999011199382
"2001","VNG2619H",0.168891983662721,0.551484028286437
"2002","VNG2620G",0.855752531836359,0.987881710633603
"2003","VNG2622H",0.0466844723578142,0.311746821424439
"2004","VNG2624G",0.0901409927886748,0.408353647682836
"2005","VNG2625C",0.572957062541751,0.896283152867772
"2006","VNG2626H",0.6832523251722,0.939178453844949
"2007","VNG2627C",0.151239080015737,0.522264448975207
"2008","VNG2628H",0.407547611372749,0.793047502514697
"2009","VNG2629G",0.264492646233348,0.670308712734989
"2010","VNG2631H",0.467844894900637,0.836682375381169
"2011","VNG2632G",0.126445904124493,0.482464499044171
"2012","VNG2633H",0.585123074791308,0.897571613019043
"2013","VNG2634H",0.585346844889509,0.897571613019043
"2014","VNG2636G",0.901714366546033,0.99645572197111
"2015","VNG2637H",0.851019344979512,0.986001798217119
"2016","VNG2638G",0.150892147033858,0.521817223171842
"2017","VNG2639G",0.480945594760748,0.841917890171988
"2018","VNG2640G",0.121491978317152,0.471813508027775
"2019","VNG2641H",0.936268455518155,0.99999011199382
"2020","VNG2642H",0.0716446666561522,0.37057586201458
"2021","VNG2643H",0.257265301199306,0.662642596902968
"2022","VNG2644C",0.819109823935156,0.974806683334952
"2023","VNG2645H",0.362607565021941,0.759945855317917
"2024","VNG2646C",0.0382325079275426,0.28656483103609
"2025","VNG2647G",0.47718329107915,0.838627084180434
"2026","VNG2648G",0.588984449735977,0.898641245623868
"2027","VNG2649G",0.747191778930975,0.957073532767553
"2028","VNG2650G",0.946923172405707,0.99999011199382
"2029","VNG2652H",0.00074817407896446,0.0401317442629185
"2030","VNG2653C",0.454392238940661,0.828708385513096
"2031","VNG2654G",0.266294424068653,0.670701911006756
"2032","VNG2656H",0.516732046754719,0.86543889780225
"2033","VNG2657G",0.391678550062939,0.781821641867615
"2034","VNG2658G",0.663369446176273,0.926709354378962
"2035","VNG2661G",0.00157714630227237,0.0564947929172193
"2036","VNG2662G",0.00171776255979518,0.0597482629493976
"2037","VNG2664G",0.0218390415245514,0.223037019825205
"2038","VNG2665G",0.402927976938063,0.789409914001103
"2039","VNG2666G",0.398171873849483,0.788153025581416
"2040","VNG2668G",0.609649730892625,0.90542039241479
"2041","VNG2669G",0.683966320066481,0.939330772805114
"2042","VNG2673H",0.0961190580073163,0.425619445050847
"2043","VNG2674H",0.00503126704995577,0.0973793622572085
"2044","VNG2675C",0.524925569017317,0.87245246928086
"2045","VNG2677H",0.310469983152134,0.709110041691984
"2046","VNG2678H",0.575324344554557,0.896798596392907
"2047","VNG2679G",0.270591475654948,0.671581738957471
"2048","VNG5001H",0.11616032616908,0.460132896545451
"2049","VNG5003H",0.275610721783525,0.674626322699574
"2050","VNG5007H",0.802577958564655,0.973099348040099
"2051","VNG5008H",0.887992845682608,0.99645572197111
"2052","VNG5009H",0.00612823074785236,0.112566672278395
"2053","VNG5010G",0.70730637730633,0.943846350766277
"2054","VNG5011H",0.641829074526785,0.912400643513897
"2055","VNG5012H",0.350546601764128,0.752590916571725
"2056","VNG5013G",0.626797076744695,0.910219692568449
"2057","VNG5017H",0.887188440217317,0.99645572197111
"2058","VNG5019G",0.286385503249408,0.687353386466406
"2059","VNG5020G",0.679745714970301,0.936503855297775
"2060","VNG5021G",0.234787937708014,0.640753396654038
"2061","VNG5022G",0.73812809519081,0.953448562140981
"2062","VNG5023G",0.229887767172966,0.635060209984936
"2063","VNG5025G",0.134464808125397,0.496504158512313
"2064","VNG5026G",0.183066277811176,0.574325577446827
"2065","VNG5027G",0.0289422702986311,0.259184510136995
"2066","VNG5028G",0.00898266688141414,0.13462321774332
"2067","VNG5029G",0.00546130844820154,0.10485712220547
"2068","VNG5030G",0.00128775390262631,0.0498485381661799
"2069","VNG5032G",0.00776061350838472,0.128451533931885
"2070","VNG5033G",0.00269021782258256,0.0731387407028331
"2071","VNG5034G",0.0286329842771753,0.257786311213748
"2072","VNG5035G",0.00250517683498618,0.0701000264942167
"2073","VNG5037G",0.810894419493373,0.973099348040099
"2074","VNG5038H",0.0470620895690235,0.311746821424439
"2075","VNG5039G",0.3877444158156,0.78148078255716
"2076","VNG5041H",0.807375375933852,0.973099348040099
"2077","VNG5042H",0.0349112891476103,0.274711783456605
"2078","VNG5044H",0.0932401306283239,0.416715667612621
"2079","VNG5047H",0.936124613104459,0.99999011199382
"2080","VNG5048H",0.647771921995975,0.914501536935495
"2081","VNG5049H",0.78056803613469,0.966149193771663
"2082","VNG5050H",0.439892980955192,0.817835980756588
