ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1
VNG5076G	0.687	0.959311926605505	23.5738178329052	11.2365007839777	0.0691113900099568	0.0176364241082653	0	0.814944	0.741090	0.845224	0.892527	0.829770	0.861521	0.867196	0.748154	0.873751
VNG5077G	0.5302	0.91299856527977	23.6267853598811	6.7780668252547	0.142330759883217	0.0397035501398435	0	0.578676	0.867037	0.632348	0.655815	0.731822	0.515217	0.644883	0.592174	0.655221
VNG5078G	0.2687	0.778840579710145	26.0243230891841	0.0764474272358631	0.16475639660394	0.195178332573045	0	0.863175	0.767395	0.572372	0.680237	0.692927	0.597621	0.654669	0.520802	0.884184
VNG5079H	0.0372	0.62	23.1411167318341	14.5591662433735	2.01909490226347	0.865584362097962	0	3.222297	2.888352	3.846375	3.812924	5.704482	4.786482	6.541500	3.196662	1.581687
VNG5080H	0.0561	0.631079136690647	24.9467341487778	0.532744306269092	0.313208955020187	0.790118953986645	0	2.148980	1.741812	1.712916	1.657433	1.664819	1.415952	1.386668	1.856601	1.952610
VNG5081H	0.147	0.717079107505071	22.9973623450127	4.63814785963579	0.15307329977144	0.456697219656808	0	0.604967	0.946037	0.738616	0.604811	0.663304	0.642531	0.610236	0.642989	0.731254
VNG5083H	5e-04	0.33	22.5187226714822	2.67928871606033	0.184975067640244	0.994847568827002	0	1.120996	1.106815	1.126455	0.942845	0.809626	0.873494	0.830969	1.140389	1.114444
VNG5085H	0.8725	0.982278481012658	25.2998769404707	2.44832930342695	0.319918406541948	0.00562350533809966	0	1.448236	1.272529	1.022607	0.913755	1.356510	1.034394	0.698820	1.125466	0.905424
VNG5086H	0.8649	0.979453345900094	23.0761585527409	5.92070031533469	0.276184704103597	0.00595083484733223	0	0.928711	1.106815	0.990164	0.947783	1.164157	0.653712	0.978236	1.103447	1.355533
VNG5088H	0.9207	0.989477351916376	23.9144738551416	21.710343537019	0.119284895126511	0.00361708750528687	0	0.529473	0.715686	0.451414	0.505077	0.604493	0.421772	0.590644	0.473366	0.561535
VNG5089G	0.2048	0.7404329004329	24.8852538390265	20.209867314265	0.0869243873251646	0.298558054775931	0	0.640771	0.434614	0.484311	0.497224	0.423859	0.524183	0.519672	0.525972	0.538686
VNG5090C	0.4403	0.86746513535685	23.6582040539453	21.9222251859192	0.277880858193803	0.0674408446087383	0	1.318188	0.932929	0.603379	0.726134	0.940828	0.801304	0.684927	0.967263	0.757761
VNG5091C	0.0219	0.565161290322581	24.9335356197893	1.27305140803077	0.14074006161738	0.917328448878937	0	0.986249	0.879219	0.823219	0.860483	0.764505	0.745297	0.690104	0.859129	1.019526
VNG5093C	0.1478	0.718056680161943	23.5837012953007	3.96277799909562	0.148663233164652	0.452454405779993	0	0.574157	0.867037	0.579122	0.600091	0.549394	0.504661	0.580357	0.520802	0.653279
VNG5097H	0.4792	0.896871595330739	23.8881801306372	9.83014546692324	0.803218943683358	0.0531107438283771	0	1.961126	2.052097	2.852448	2.998529	3.162699	2.607845	1.768952	3.587177	2.326198
VNG5098C	0.085	0.65903536977492	25.2625280889328	5.64950493202555	0.399904306998673	0.678858207488913	0	1.159738	1.705739	1.624891	1.183366	1.468300	0.858553	1.100728	0.976866	1.141215
VNG5100C	0.5236	0.908843930635838	25.5961195769543	19.2774969236381	0.573921828333595	0.0410467422141004	0	2.188657	2.124937	2.364576	2.197525	2.406944	2.882292	1.695054	3.062701	2.674322
VNG5102H	0.0868	0.660731707317073	25.2576737468161	4.28368828856775	0.553905706200564	0.670483745099207	0	2.294081	2.848334	2.989398	2.031920	2.094036	2.134859	1.707867	2.345636	2.102965
VNG5104H	0.2563	0.77640146878825	23.6695146762606	8.57806108661497	0.755783004591679	0.211361180672039	0	2.258387	2.342939	2.551809	2.523762	2.420125	2.598862	1.540843	3.682936	2.264898
VNG5105H	0.4394	0.86746513535685	24.1467464236748	8.6721755170894	0.434938889965887	0.067946597546634	0	1.976563	2.208051	2.492672	2.351928	2.820001	2.041215	1.892996	2.580689	1.970069
VNG5106H	0.8359	0.978664122137405	23.1939657226522	17.975582939987	0.434234505361223	0.00732236099513354	0	2.533615	2.162321	2.006651	2.279361	2.304047	2.476306	1.552490	2.217929	1.901155
VNG5108H	0.0526	0.631079136690647	25.6802727380536	4.75641197405798	0.491790604682238	0.80528884009204	0	1.748087	1.927219	2.262872	1.504767	1.651236	1.115970	1.286082	1.279703	1.446973
VNG5112H	0.7302	0.974666666666667	25.0032224501025	23.8303045304385	0.426980037092087	0.0142419299458007	0	1.607835	1.102961	1.673220	1.631663	1.633299	1.250555	1.238558	1.950613	2.096734
VNG5115H	0.5081	0.907712418300654	22.763805556704	4.58596843913005	0.256903761422747	0.0454566187020127	0	0.874529	1.447825	1.133078	0.930613	1.170533	0.876513	1.062718	0.989819	1.179079
VNG5116H	0.3075	0.811052631578947	23.927021579236	19.6106676897605	0.801329315647378	0.154912956699345	0	0.662916	0.582570	0.503120	0.603234	0.685399	0.646980	2.319801	0.522519	0.583619
VNG5118H	0.2802	0.795190751445087	24.1032655235667	2.23686312752933	0.150000249063904	0.181617915049639	0	1.015014	1.276975	0.928333	0.996000	0.938262	0.923072	1.008150	0.893759	1.022556
VNG5119H	0.539	0.919914712153518	24.4192287106828	23.6901494323784	0.127880023279738	0.0377487759793838	0	0.950815	0.959328	0.860219	0.823114	0.803021	1.034394	0.784353	0.911594	1.059622
VNG5120H	0.0342	0.614265734265734	23.4232215766626	12.4122119280417	0.617771298834642	0.87581969349903	0	2.754624	2.741119	3.033529	3.276969	3.756390	3.798546	2.372804	3.032592	2.706253
VNG5123H	0.0188	0.533647058823529	20.9647415715643	18.8478117450129	0.0990335931778692	0.92867802344477	0	0.652602	0.640101	0.550974	0.523886	0.511741	0.642531	0.725633	0.645110	0.578447
VNG5124H	0.2954	0.804353741496599	23.6198389119013	12.7412121999164	1.32000047261967	0.167011444771537	0	1.832290	1.624445	2.066334	2.794369	2.953996	2.091117	4.661319	1.585150	1.319812
