"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24"
"VNG5044H","0","default","1","24","0.103717392194976","7.96518921107187","0.776479955","0.385850559962862","0.181134079950483","0.14969587148575","0.231644600028202","0.75101514080037","0.586288081","0.858011544","0.745139586","0.849319016","0.972167418","0.70770409","0.644882867","0.743243004","0.881563989"
"VNG5047H","0","default","1","24","0.151182862319766","8.26193596869291","1.84271332688889","0.217980187613599","-0.0426930831818679","0.151971428751157","0.478248116170229","0.802961143309173","2.044872962","1.687982854","2.463619049","1.908468","1.977333261","1.71185001","1.636521358","1.450292581","1.703479867"
"VNG5048H","1","burg","1","20.5068493150685","0.0805339231471806","16.6196698011036","1.666217194","0.0529152509238238","-0.262779665434901","0.139234164761139","0.849506154608593","0.941281057738053","1.471125326","2.06646254","1.582589751","1.263208818","1.966563774","1.778071103","1.669716635","1.649044252","1.549172547"
"VNG5049H","0","default","1","24","0.0722484286294511","10.103816631491","0.414671551333333","0.103151776229059","-0.195797631694587","0.396467915883094","0.721367973426782","0.884209977642634","0.447920171","0.152636251","0.654984197","0.659249308","0.310475352","0.401882397","0.344307578","0.517382787","0.243205921"
"VNG5050H","0","burg","1","20.0939597315436","0.0652733796407091","14.0345617958332","1.03246747566667","0.124318485303064","-0.167575352929248","0.136398878690301","0.671488448599554","0.859047055777681","1.247789544","1.054065154","0.850192625","1.094188166","1.132798063","1.163146941","0.788300499","0.945220958","1.016505331"
"VNG5052G","1","burg","1","24.7438016528926","0.0839241662717194","24.0210027507644","0.618411382","0.854755911213002","0.806341214950669","0.122410620320203","0.00306404683179373","0.599901574974977","0.680470149","0.584605683","0.549361086","0.549101923","0.555428","0.55777076","0.611769697","0.723918139","0.753277001"
"VNG5053H","0","burg","1","26.2631578947368","0.0742598112199545","12.7009693364946","1.01578255066667","0.463138600969636","0.284184801292848","0.118837434604767","0.154734279275977","0.702412546095008","1.044618583","1.126286863","1.146439952","1.057662019","1.069666043","0.992439272","1.068066718","0.905609802","0.731253704"
"VNG5055G","1","burg","1","23.390625","0.0606575661061251","0.304471112064193","0.482857949222222","0.269799685057181","0.0263995800762413","0.194683143418165","0.38933733138323","0.79227492994086","0.468270198","0.470916872","0.484310584","0.405584418","0.353957579","0.573381506","0.373104912","0.65798272","0.558212754"
"VNG5057G","0","burg","1","25.8103448275862","0.0828454132262955","25.5879391058821","0.558776358555556","0.474492953466121","0.299323937954828","0.161993776434145","0.145122794159556","0.698536062712365","0.608137529","0.60747169","0.413416994","0.536345715","0.556946767","0.480862133","0.472393428","0.622159267","0.731253704"
"VNG5059C","1","burg","1","24.95","0.167136205353184","23.9481129656979","0.742101166444444","0.825523674011152","0.767364898681535","0.18116240778433","0.00531140627971272","0.599901574974977","0.95829893","0.775467101","0.623148889","0.645618211","0.596295662","0.627197731","0.656314196","0.917617738","0.87895204"
"VNG5061C","0","mle","1","20.7916666666667","0.216883289500604","14.9838339743796","1.406860294","0.801815793874272","0.735754391832363","0.140611396470626","0.00778407701265627","0.599901574974977","1.646102768","1.374022061","1.292824223","1.473653022","1.628844622","1.460612686","1.568156304","1.210030168","1.007496792"
